DAUID  PROBABILITY  CUMULATIVE PROBABILITY (2006)
35180474    8.85353e-05         0.0449106
35180475    0.000170067         0.0450806
35180476    7.57848e-05         0.0451564
35180477    8.08131e-05         0.0452372
35180478    0.000127685         0.0453649
35180479    0.000111343         0.0454763
35180480    8.53028e-05         0.0455616
35180481    0.000175454         0.045737
35180482    7.05768e-05         0.0458076
35180483    9.98491e-05         0.0459074
35180484    0.000170965         0.0460784
35180485    0.000106135         0.0461845
35180486    5.65692e-05         0.0462411
35180487    5.54917e-05         0.0462966
35180488    0.000166834         0.0464634
35180489    6.15976e-05         0.046525
35180490    0.000201674         0.0467267
35180491    8.0454e-05         0.0468072
35180492    0.00012104         0.0469282
35180493    0.000159651         0.0470878
35180494    0.000107571         0.0471954
35180495    9.57187e-05         0.0472911
35180496    0.000124273         0.0474154
35180497    0.000133072         0.0475485
35180498    9.48208e-05         0.0476433
35180499    0.000169528         0.0478128
35180500    7.50664e-05         0.0478879
35180501    0.000154263         0.0480422
35180502    0.000141513         0.0481837
35180503    0.000162524         0.0483462
35180504    0.00016863         0.0485148
35180505    0.000101645         0.0486165
35180506    0.000177969         0.0487944
35180507    0.000161267         0.0489557
35180508    9.98491e-05         0.0490556
35180510    0.000133611         0.0491892
35180511    0.000175813         0.049365
35180512    0.000251957         0.0496169
35180513    0.000131456         0.0497484
35180514    0.000139897         0.0498883
35180515    6.44709e-05         0.0499528
35180516    8.06336e-05         0.0500334
35180517    0.000105057         0.0501385
35180518    0.000132534         0.050271
35180519    6.28547e-05         0.0503338
35180520    0.000223224         0.0505571
35180525    0.000100927         0.050658
35180533    0.000324689         0.0509827
35180534    0.000100388         0.0510831
35180538    0.00012535         0.0512084
35180539    9.4282e-05         0.0513027
35180540    0.00012553         0.0514282
35180541    0.000239925         0.0516682
35180544    0.000105416         0.0517736
35180545    8.85353e-05         0.0518621
35180546    7.03972e-05         0.0519325
35180547    9.14086e-05         0.0520239
35180548    0.000134329         0.0521582
35180549    0.000114755         0.052273
35180550    6.23159e-05         0.0523353
35180551    0.000120322         0.0524556
35180553    6.77035e-05         0.0525233
35180554    0.000108649         0.052632
35180555    0.000107212         0.0527392
35180556    6.73443e-05         0.0528065
35180557    9.33841e-05         0.0528999
35180558    9.15882e-05         0.0529915
35180559    5.26183e-05         0.0530441
35180560    9.82329e-05         0.0531424
35180562    0.000153904         0.0532963
35180563    7.45277e-05         0.0533708
35180564    0.000126248         0.053497
35180565    4.07657e-05         0.0535378
35180566    0.000143847         0.0536817
35180567    8.42253e-05         0.0537659
35180568    8.44048e-05         0.0538503
35180569    4.36391e-05         0.0538939
35180570    0.000120861         0.0540148
35180571    8.33273e-05         0.0540981
35180572    0.000348574         0.0544467
35180573    0.00010362         0.0545503
35180574    7.38093e-05         0.0546241
35180575    8.79965e-05         0.0547121
35180576    6.66259e-05         0.0547787
35180581    0.000103441         0.0548822
35180582    0.000106494         0.0549887
35180583    8.44048e-05         0.0550731
35180584    8.9972e-05         0.0551631
35180585    7.81194e-05         0.0552412
35180586    7.88377e-05         0.05532
35180587    0.00013828         0.0554583
35180588    9.19474e-05         0.0555502
35180589    7.00381e-05         0.0556203
35180590    0.000115114         0.0557354
35180591    0.000244774         0.0559802
35180592    0.000718339         0.0566985
35180593    0.000111702         0.0568102
35180594    0.000110804         0.056921
35180595    0.000126248         0.0570473
35180596    7.14747e-05         0.0571187
35180597    0.000105775         0.0572245
35180598    5.31571e-05         0.0572777
35180599    8.85353e-05         0.0573662
35180600    5.54917e-05         0.0574217
35180601    8.17111e-05         0.0575034
35180602    0.000102184         0.0576056
35180603    6.64464e-05         0.057672
35180604    0.000124632         0.0577967
35180605    0.000110983         0.0579076
35180606    0.000214245         0.0581219
